,medallion, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude, fake_pickup_latitude, fake_pickup_longitude,pickup_walking_time, fake_dropoff_latitude, fake_dropoff_longitude,dropoff_walking_time
128,2010000129,2010-01-01 00:01:38,2010-01-01 00:02:12,1,0.56,2.0,-73.95839699999999,40.774817999999996,-73.97438000000001,40.787440999999994,40.773761,-73.957471,150.0,40.787299,-73.973476,55.0
129,2010000130,2010-01-01 00:01:39,2010-01-01 00:22:53,2,21.23,2.3,-73.995399,40.759674,-73.961136,40.759266,40.759129,-73.995200,49.0,40.759874,-73.961468,94.0
130,2010000131,2010-01-01 00:01:39,2010-01-01 00:29:50,1,28.18,3.6,-74.004494,40.742313,-73.967407,40.756008,40.741415,-74.005614,152.0,40.756857,-73.967370,86.0
131,2010000132,2010-01-01 00:01:40,2010-01-01 00:02:04,1,0.4,0.1,-73.939545,40.809425,-73.94081899999999,40.809071,40.810458,-73.941001,176.0,40.810344,-73.940940,171.0
132,2010000133,2010-01-01 00:01:41,2010-01-01 00:23:03,1,21.36,10.3,-73.963417,40.777397,-73.972176,40.765419,40.776488,-73.962519,117.0,40.765056,-73.971874,29.0
133,2010000134,2010-01-01 00:01:42,2010-01-01 00:21:41,1,19.98,4.5,-73.942406,40.797588,-73.962151,40.805206,40.798741,-73.941704,113.0,40.806378,-73.962761,168.0
134,2010000135,2010-01-01 00:01:42,2010-01-01 00:04:10,1,2.47,0.4,-73.93972,40.794437,-73.94239,40.798092,40.795497,-73.939616,103.0,40.797335,-73.943171,95.0
135,2010000136,2010-01-01 00:01:43,2010-01-01 00:16:49,1,15.1,4.5,-73.977303,40.763905,-73.901489,40.750941999999995,40.762928,-73.977209,142.0,40.751396,-73.900811,105.0
136,2010000137,2010-01-01 00:01:43,2010-01-01 00:09:35,1,7.87,1.4,-73.992599,40.737869,-73.994522,40.750656,40.737698,-73.993311,85.0,40.750875,-73.993351,173.0
137,2010000138,2010-01-01 00:01:43,2010-01-01 00:32:25,1,30.69,2.8,-73.981377,40.780338,-73.956406,40.778137,40.781099,-73.981880,113.0,40.779432,-73.954955,169.0
